Title,region,Region Name,region_parent_name,Price,Property Size,Bedrooms,Bathrooms,Furnishing,Is Boosted,House Type,Region Parent Name
Furnished 4bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,600000000.0,800.0,4,5,Furnished,vip_gold,Duplex,Abuja (FCT)
2bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,120000000.0,450.0,2,2,Unfurnished,diamond,Block Of Flats,Edo State
3bdrm Apartment in Zone 3 / Wuse for sale,"Wuse, Zone 3 / Wuse",Zone 3 / Wuse,Wuse,150000000.0,150.0,3,3,Unfurnished,False,Apartment,Abuja (FCT)
4bdrm Duplex in Ifako-Ogba for sale,"Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,250000000.0,150.0,4,4,Unfurnished,diamond,Duplex,Lagos Mainland
"5bdrm Duplex in Ikota Villa, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,350000000.0,400.0,5,5,Semi-Furnished,vip,Duplex,Lagos Island
"4bdrm Duplex in Dpk Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,280000000.0,290.0,4,4,Semi-Furnished,vip,Duplex,Lagos Island
"4bdrm Duplex in Idado Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,250000000.0,280.0,4,4,Unfurnished,vip,Duplex,Lagos Island
"4bdrm Duplex in Idado Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,220000000.0,275.0,4,4,Unfurnished,vip,Duplex,Lagos Island
"4bdrm Duplex in Royal Pine, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,280000000.0,280.0,4,4,Unfurnished,vip,Duplex,Lagos Island
"5bdrm Duplex in Discovery Park, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,500000000.0,650.0,5,5,Semi-Furnished,vip,Duplex,Lagos Island
"5bdrm Duplex in Oral Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,450000000.0,280.0,5,5,Semi-Furnished,vip,Duplex,Lagos Island
"5bdrm Duplex in Royal Pine, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,385000000.0,289.0,5,5,Semi-Furnished,vip,Duplex,Lagos Island
"Furnished 5bdrm Duplex in In An Estate , Sars, New Layout for sale","Port-Harcourt, New Layout",New Layout,Port-Harcourt,580000000.0,700.0,5,5,Furnished,enterprise,Duplex,Rivers State
"4bdrm Duplex in Ikota Villa, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,160000000.0,900.0,4,4,Semi-Furnished,vip,Duplex,Lagos Island
Furnished 5bdrm Duplex in Lekki Phase 2 for sale,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,350000000.0,500.0,5,5,Furnished,diamond,Duplex,Lagos Island
20bdrm Apartment in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,97000000.0,900.0,20,20,Unfurnished,diamond,Apartment,Edo State
"4bdrm Duplex in Hi Life Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,135000000.0,130.0,4,4,Semi-Furnished,vip,Duplex,Lagos Island
Furnished 6bdrm Duplex in Osapa london for sale,"Lekki, Osapa london",Osapa london,Lekki,1700000000.0,650.0,6,6,Furnished,diamond,Duplex,Lagos Island
4bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,220000000.0,250.0,4,4,Semi-Furnished,diamond,Duplex,Lagos Island
"4bdrm Duplex in Cedar Wood, Obio-Akpor for sale","Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,300000000.0,465.0,4,4,Unfurnished,enterprise,Duplex,Rivers State
20bdrm Apartment in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,120000000.0,900.0,20,20,Unfurnished,diamond,Apartment,Edo State
"4bdrm Duplex in Discovery Park, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,250000000.0,450.0,4,4,Unfurnished,vip,Duplex,Lagos Island
4bdrm Townhouse/Terrace in Ajah for sale,"Lagos State, Ajah",Ajah,Lagos State,100000000.0,250.0,4,4,Semi-Furnished,diamond,Townhouse,Lagos Island
3bdrm Apartment in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,Ajah,145000000.0,200.0,3,3,Unfurnished,enterprise,Apartment,Lagos Island
2bdrm Block of Flats in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,160000000.0,400.0,2,2,Unfurnished,enterprise,Block Of Flats,Lagos Island
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,370000000.0,450.0,5,5,Unfurnished,enterprise,Duplex,Lagos Island
"2bdrm Apartment in Ologolo Rd, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,95000000.0,460.0,2,2,Semi-Furnished,vip,Apartment,Lagos Island
5bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,1500000000.0,550.0,5,5,Unfurnished,enterprise,Duplex,Lagos Island
