title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost
Furnished 4bdrm Duplex in Life Camp for sale,"Gwarinpa, Life Camp",Life Camp,Gwarinpa,"₦ 600,000,000",800.0,4,5,Furnished,vip_gold
3bdrm Block of Flats in Ado-Odo/Ota for sale,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,Ogun State,"₦ 30,000,000",1000.0,3,3,Unfurnished,False
3bdrm Bungalow in Ikpoba-Okha for sale,"Edo State, Ikpoba-Okha",Ikpoba-Okha,Edo State,"₦ 9,000,000",464.0,3,2,Unfurnished,False
2bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 120,000,000",450.0,2,2,Unfurnished,diamond
3bdrm Apartment in Zone 3 / Wuse for sale,"Wuse, Zone 3 / Wuse",Zone 3 / Wuse,Wuse,"₦ 150,000,000",150.0,3,3,Unfurnished,False
4bdrm Duplex in Ifako-Ogba for sale,"Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,"₦ 250,000,000",150.0,4,4,Unfurnished,diamond
"2bdrm Bungalow in Breden, Karu for sale","Abuja (FCT), Karu",Karu,Abuja (FCT),"₦ 50,000,000",500.0,2,3,Semi-Furnished,False
"5bdrm Duplex in Ikota Villa, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 350,000,000",400.0,5,5,Semi-Furnished,vip
"4bdrm Duplex in Dpk Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 280,000,000",290.0,4,4,Semi-Furnished,vip
"4bdrm Duplex in Idado Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 250,000,000",280.0,4,4,Unfurnished,vip
"4bdrm Duplex in Idado Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 220,000,000",275.0,4,4,Unfurnished,vip
"4bdrm Duplex in Royal Pine, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 280,000,000",280.0,4,4,Unfurnished,vip
"5bdrm Duplex in Discovery Park, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 500,000,000",650.0,5,5,Semi-Furnished,vip
"5bdrm Duplex in Oral Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 450,000,000",280.0,5,5,Semi-Furnished,vip
"5bdrm Duplex in Royal Pine, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 385,000,000",289.0,5,5,Semi-Furnished,vip
"Furnished 5bdrm Duplex in In An Estate , Sars, New Layout for sale","Port-Harcourt, New Layout",New Layout,Port-Harcourt,"₦ 580,000,000",700.0,5,5,Furnished,enterprise
"4bdrm Duplex in Ikota Villa, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 160,000,000",900.0,4,4,Semi-Furnished,vip
Furnished 5bdrm Duplex in Lekki Phase 2 for sale,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 350,000,000",500.0,5,5,Furnished,diamond
20bdrm Apartment in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 97,000,000",900.0,20,20,Unfurnished,diamond
"4bdrm Duplex in Hi Life Estate, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 135,000,000",130.0,4,4,Semi-Furnished,vip
4bdrm Duplex in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 20,000,000",450.0,4,4,Unfurnished,diamond
Furnished 6bdrm Duplex in Osapa london for sale,"Lekki, Osapa london",Osapa london,Lekki,"₦ 1,700,000,000",650.0,6,6,Furnished,diamond
4bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,"₦ 220,000,000",250.0,4,4,Semi-Furnished,diamond
"4bdrm Duplex in Cedar Wood, Obio-Akpor for sale","Rivers State, Obio-Akpor",Obio-Akpor,Rivers State,"₦ 300,000,000",465.0,4,4,Unfurnished,enterprise
20bdrm Apartment in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 120,000,000",900.0,20,20,Unfurnished,diamond
4bdrm Bungalow in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 50,000,000",900.0,4,4,Unfurnished,diamond
"4bdrm Duplex in Discovery Park, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 250,000,000",450.0,4,4,Unfurnished,vip
4bdrm Bungalow in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 30,000,000",900.0,4,4,Semi-Furnished,diamond
4bdrm Townhouse/Terrace in Ajah for sale,"Lagos State, Ajah",Ajah,Lagos State,"₦ 100,000,000",250.0,4,4,Semi-Furnished,diamond
3bdrm Apartment in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,Ajah,"₦ 145,000,000",200.0,3,3,Unfurnished,enterprise
2bdrm Block of Flats in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,"₦ 160,000,000",400.0,2,2,Unfurnished,enterprise
5bdrm Duplex in Ikota for sale,"Lekki, Ikota",Ikota,Lekki,"₦ 370,000,000",450.0,5,5,Unfurnished,enterprise
"2bdrm Apartment in Ologolo Rd, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 95,000,000",460.0,2,2,Semi-Furnished,vip
5bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,"₦ 1,500,000,000",550.0,5,5,Unfurnished,enterprise
4bdrm Duplex in Lekki for sale,"Lagos State, Lekki",Lekki,Lagos State,"₦ 250,000,000",250.0,4,4,Unfurnished,enterprise
5bdrm Duplex in Adeniyi Jones for sale,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,"₦ 650,000,000",350.0,5,5,Unfurnished,enterprise
2bdrm Bungalow in Ifako-Ijaiye for sale,"Lagos State, Ifako-Ijaiye",Ifako-Ijaiye,Lagos State,"₦ 60,000,000",1700.0,2,5,Semi-Furnished,False
10bdrm Bungalow in Lateef Jakande for sale,"Ifako-Ijaiye, Agbado",Agbado,Ifako-Ijaiye,"₦ 15,000,000",700.0,10,1,Unfurnished,False
"Furnished 4bdrm Duplex in Chime Estate, Enugu for sale","Enugu State, Enugu",Enugu,Enugu State,"₦ 260,000,000",600.0,4,6,Furnished,enterprise
4bdrm Duplex in Centenary City Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,"₦ 100,000,000",400.0,4,4,Semi-Furnished,diamond
Furnished 5bdrm Duplex in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 1,100,000,000",600.0,5,5,Furnished,enterprise
"Furnished Mini Flat in Freedom Way Lekki, Ikate for sale","Lekki, Ikate",Ikate,Lekki,"₦ 160,000,000",600.0,1,1,Furnished,diamond
Furnished 2bdrm Apartment in Odeda for sale,"Ogun State, Odeda",Odeda,Ogun State,"₦ 65,000,000",648.0,2,2,Furnished,False
2bdrm Block of Flats in Kubwa for sale,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),"₦ 45,000,000",300.0,2,2,Semi-Furnished,basic
"4bdrm Block of Flats in Abagdo Roads, Alakuko for sale","Ifako-Ijaiye, Alakuko",Alakuko,Ifako-Ijaiye,"₦ 120,000,000",1000.0,4,4,Semi-Furnished,diamond
