title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost,content_name
4bdrm Duplex in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,"₦ 222,000,000",500.0,4,4,Unfurnished,vip_gold,4bdrm Duplex in Abraham Adesanya Estate for sale
"Furnished 3bdrm Bungalow in Unique Estate, Baruwa for sale","Ipaja, Baruwa",Baruwa,Ipaja,"₦ 120,000,000",600.0,3,3,Furnished,vip,"Furnished 3bdrm Bungalow in Unique Estate, Baruwa for sale"
"5bdrm Duplex in Cbn Estate, Apo for sale","Apo District, Apo Resettlement",Apo Resettlement,Apo District,"₦ 160,000,000",190.0,5,5,Unfurnished,diamond,"5bdrm Duplex in Cbn Estate, Apo for sale"
5bdrm Bungalow in Ekenwan Road Benin for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 85,000,000",466.0,5,5,Semi-Furnished,diamond,5bdrm Bungalow in Ekenwan Road Benin for sale
"3bdrm Bungalow in Saint Louis, Ushafa for sale","Bwari, Ushafa",Ushafa,Bwari,"₦ 18,000,000",500.0,3,3,Unfurnished,diamond,"3bdrm Bungalow in Saint Louis, Ushafa for sale"
4bdrm Duplex in Ejigbo / Ejigbo for sale,"Ejigbo, Ejigbo / Ejigbo",Ejigbo / Ejigbo,Ejigbo,"₦ 220,000,000",120.0,4,4,Semi-Furnished,False,4bdrm Duplex in Ejigbo / Ejigbo for sale
"4bdrm Duplex in Great Citizens, Ushafa for sale","Bwari, Ushafa",Ushafa,Bwari,"₦ 40,000,000",600.0,4,6,Unfurnished,diamond,"4bdrm Duplex in Great Citizens, Ushafa for sale"
3bdrm Block of Flats in Akowonjo for sale,"Alimosho, Akowonjo",Akowonjo,Alimosho,"₦ 180,000,000",800.0,3,4,Unfurnished,False,3bdrm Block of Flats in Akowonjo for sale
Furnished 5bdrm Duplex in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,"₦ 270,000,000",250.0,5,4,Furnished,False,Furnished 5bdrm Duplex in Abraham Adesanya Estate for sale
"5bdrm Duplex in Peace Land, Obafemi-Owode for sale","Ogun State, Obafemi-Owode",Obafemi-Owode,Ogun State,"₦ 135,000,000",300.0,5,5,Semi-Furnished,False,"5bdrm Duplex in Peace Land, Obafemi-Owode for sale"
7bdrm Duplex in Gwarinpa Karsana for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),"₦ 470,000,000",800.0,7,8,Semi-Furnished,diamond,7bdrm Duplex in Gwarinpa Karsana for sale
6bdrm House in Ndokwa West for sale,"Delta State, Ndokwa West",Ndokwa West,Delta State,"₦ 50,000,000",1000.0,6,6,Unfurnished,False,6bdrm House in Ndokwa West for sale
"Furnished 4bdrm Block of Flats in Gemade, Egbeda / Egbeda for sale","Egbeda, Egbeda / Egbeda",Egbeda / Egbeda,Egbeda,"₦ 360,000,000",600.0,4,4,Furnished,premium,"Furnished 4bdrm Block of Flats in Gemade, Egbeda / Egbeda for sale"
3bdrm Block of Flats in Alagbado for sale,"Ifako-Ijaiye, Alagbado",Alagbado,Ifako-Ijaiye,"₦ 100,000,000",640.0,3,7,Unfurnished,premium,3bdrm Block of Flats in Alagbado for sale
Furnished 18bdrm Block of Flats in Iju-Ishaga for sale,"Agege, Iju-Ishaga",Iju-Ishaga,Agege,"₦ 130,000,000",640.0,18,20,Furnished,premium,Furnished 18bdrm Block of Flats in Iju-Ishaga for sale
Furnished 4bdrm Duplex in Akowonjo for sale,"Alimosho, Akowonjo",Akowonjo,Alimosho,"₦ 200,000,000",435.0,4,4,Furnished,premium,Furnished 4bdrm Duplex in Akowonjo for sale
Furnished 8bdrm Duplex in Oba Akran for sale,"Ikeja, Oba Akran",Oba Akran,Ikeja,"₦ 450,000,000",610.0,8,8,Furnished,premium,Furnished 8bdrm Duplex in Oba Akran for sale
